sim_id,total_mass,ell,em,match,phase_diff_per_cycle,f_lower_mode
SXS:BBH:0169,100,4,4,0.9962754122847355,0.2631919160318574,23.25592455074901
SXS:BBH:0169,100,3,2,0.9502956101616999,0.000649440112002544,11.627962275374506
SXS:BBH:0169,100,4,3,0.9623783371777678,0.006898026406403215,17.441943413061757
SXS:BBH:0162,10,2,2,0.9825254029275516,0.44939560874077816,115.01943928866963
SXS:BBH:0162,10,2,1,0.8379408488215169,0.3505437844454282,57.509719644334815
SXS:BBH:0162,10,3,3,0.9482961168775836,0.06941062803409126,172.52915893300445
SXS:BBH:0162,10,4,4,0.7782573996445706,0.032504619097888945,230.03887857733926
SXS:BBH:0162,10,3,2,0.7036955545821134,0.11539015346941092,115.01943928866963
SXS:BBH:0162,10,4,3,0.3942179462864625,0.07934475998737507,172.52915893300445
SXS:BBH:0162,15,2,2,0.9894273025942572,0.0026447408805888315,76.67962619244642
SXS:BBH:0162,15,2,1,0.6862383577958382,0.26601127165191707,38.33981309622321
SXS:BBH:0162,15,3,3,0.9858245808746701,0.25740538177080585,115.01943928866963
SXS:BBH:0162,15,4,4,0.9765706128537768,0.0841768474114759,153.35925238489284
SXS:BBH:0162,15,3,2,0.682259431052493,0.0019512197833232118,76.67962619244642
SXS:BBH:0162,15,4,3,0.38302138122729207,0.2254832170537633,115.01943928866963
SXS:BBH:0162,20,2,2,0.990333908802049,0.009300602614080899,57.509719644334815
SXS:BBH:0162,20,2,1,0.5765180246651476,0.04859644273954133,28.754859822167408
SXS:BBH:0162,20,3,3,0.9872573204747436,0.017481176284206396,86.26457946650223
SXS:BBH:0162,20,4,4,0.9830104558212857,0.39838439449498086,115.01943928866963
SXS:BBH:0162,20,3,2,0.64271905904881,0.011800523810308543,57.509719644334815
SXS:BBH:0162,20,4,3,0.3776287811148255,0.012469143966177664,86.26457946650223
SXS:BBH:0162,25,2,2,0.9885906043122021,0.0067222895844370086,46.00777571546785
SXS:BBH:0162,25,2,1,0.491399663744024,0.023343922085195673,23.003887857733925
SXS:BBH:0162,25,3,3,0.978071922860613,0.00026536510279088154,69.01166357320177
SXS:BBH:0162,25,4,4,0.9705684752301388,0.3046454148280099,92.0155514309357
SXS:BBH:0162,25,3,2,0.6108851359729788,0.005974575772023068,46.00777571546785
SXS:BBH:0162,25,4,3,0.38539616043551356,0.0046444553707851825,69.01166357320177
SXS:BBH:0162,30,2,2,0.992320846526107,0.0016380346412731516,38.33981309622321
SXS:BBH:0162,30,2,1,0.43133822769841085,0.03887992698517544,19.169906548111605
SXS:BBH:0162,30,3,3,0.992157491451948,0.009594694509408912,57.509719644334815
SXS:BBH:0162,30,4,4,0.9885970260381113,0.2480355152344241,76.67962619244642
SXS:BBH:0162,30,3,2,0.5996219184917179,0.003585677772912,38.33981309622321
SXS:BBH:0162,30,4,3,0.3993461215321921,0.00533996059620963,57.509719644334815
SXS:BBH:0162,35,2,2,0.9939204773503487,0.0042138475993744985,32.862696939619894
SXS:BBH:0162,35,2,1,0.38572187304861355,0.03939822662451209,16.431348469809947
SXS:BBH:0162,35,3,3,0.9923541478432507,0.011409385305620735,49.29404540942984
SXS:BBH:0162,35,4,4,0.9883718748819414,0.250985327239919,65.72539387923979
SXS:BBH:0162,35,3,2,0.5844146557384954,0.006017012544713847,32.862696939619894
SXS:BBH:0162,35,4,3,0.4002654897040376,0.006058179042011815,49.29404540942984
SXS:BBH:0162,40,2,2,0.993053705035033,0.004984013631155685,28.754859822167408
SXS:BBH:0162,40,2,1,0.3503823040479951,0.024764296862279253,14.377429911083704
SXS:BBH:0162,40,3,3,0.9843807341816163,0.0012129333610308133,43.13228973325111
SXS:BBH:0162,40,4,4,0.9778197609444709,0.24024724294760882,57.509719644334815
SXS:BBH:0162,40,3,2,0.5694167460633224,0.004287974261101298,28.754859822167408
SXS:BBH:0162,40,4,3,0.4055766882750697,0.003724726093585284,43.13228973325111
SXS:BBH:0162,50,2,2,0.9963367065209483,0.004741635585268087,23.003887857733925
SXS:BBH:0162,50,2,1,0.3010081461059433,0.04237070206311473,11.501943928866963
SXS:BBH:0162,50,3,3,0.9946005753333169,0.012753716166714968,34.505831786600886
SXS:BBH:0162,50,4,4,0.9899311812741084,0.18484153393418054,46.00777571546785
SXS:BBH:0162,50,3,2,0.5551729705160688,0.006896401358946711,23.003887857733925
SXS:BBH:0162,50,4,3,0.4126330712737353,0.008336406458810633,34.505831786600886
SXS:BBH:0162,60,2,2,0.996027976435708,0.0016380346412598415,19.169906548111605
SXS:BBH:0162,60,2,1,0.26711039496209954,0.03887992698515728,9.584953274055803
SXS:BBH:0162,60,3,3,0.9935148244238918,0.009594694509396958,28.754859822167408
SXS:BBH:0162,60,4,4,0.9881971987627068,0.24803551523440917,38.33981309622321
SXS:BBH:0162,60,3,2,0.542226525219757,0.003585677772897492,19.169906548111605
SXS:BBH:0162,60,4,3,0.41944448110013244,0.005339960596196066,28.754859822167408
SXS:BBH:0162,70,2,2,0.9968335147061554,0.006061429462574249,16.431348469809947
SXS:BBH:0162,70,2,1,0.2425566283465739,0.04405800099471175,8.215674234904974
SXS:BBH:0162,70,3,3,0.9934449868413235,0.014088013011198105,24.64702270471492
SXS:BBH:0162,70,4,4,0.9877106061292648,0.2521954772930793,32.862696939619894
SXS:BBH:0162,70,3,2,0.5322565397530366,0.008309064986900554,16.431348469809947
SXS:BBH:0162,70,4,3,0.42244813299945044,0.009548335290275557,24.64702270471492
SXS:BBH:0162,80,2,2,0.9973785008483663,0.010993663568919645,14.377429911083704
